CAMPUS,C20GR12N,C20GR12R,C30GR12N,C30GR12R,C40GR12N,C40GR12R,CA0GH12N,CA0GH12R,CA0GM12N,CA0GM12R,CA0GR12N,CA0GR12R,CB0GR12N,CB0GR12R,CH0GR12N,CH0GR12R,CI0GR12N,CI0GR12R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR12N,CS0GR12R,CW0GR12N,CW0GR12R
"061901115",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,45,6.8,0,0,0,0.9,0,.,.,.,0.9,0,0,6.7,0,0,.,.,.,0,692,30,4.3,31,4.5,19,2.7,4,0.5,54,7.8,109,15.8,99,14.3,137,19.8,125,18.1,124,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,39,5.6,96,13.9,0,0,101,14.6,1,0.1,32,4.6,638,92.2,0,0,118,17.1,47,6.8,12,1.7,0,0,529,76.4,0,.,0,.
"061901116",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,73,11.6,0,0,0,0,0,.,.,.,3.2,0,0,6.7,0,0,.,.,.,0,715,25,3.5,163,22.8,64,9,1,0.1,289,40.4,138,19.3,116,16.2,105,14.7,113,15.8,108,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.3,135,18.9,0,0,238,33.3,9,1.3,161,22.5,426,59.6,0,0,289,40.4,62,8.7,2,0.3,0,0,377,52.7,0,.,0,.
"061901117",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,38,8.2,0,1.1,1.6,0,0,.,.,.,1.6,0,0,5.9,0,0,.,.,.,0,502,7,1.4,0,0,33,6.6,3,0.6,100,19.9,74,14.7,78,15.5,92,18.3,92,18.3,86,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6.8,80,15.9,0,0,69,13.7,7,1.4,0,0,402,80.1,1,0.2,21,4.2,59,11.8,1,0.2,0,0,384,76.5,0,.,0,.
"061901118",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,37,5.7,0,0.9,0,0,0.8,.,.,.,0,0,0,6.7,0,7.1,.,.,.,0,710,23,3.2,11,1.5,40,5.6,2,0.3,62,8.7,107,15.1,110,15.5,124,17.5,133,18.7,137,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,54,7.6,98,13.8,0,0,92,13,3,0.4,11,1.5,648,91.3,2,0.3,85,12,54,7.6,23,3.2,0,0,527,74.2,0,.,0,.
"061901119",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,61,12.8,0,0,0,0,0,.,.,.,1.4,0,0,0,0,0,.,.,.,0,629,12,1.9,23,3.7,97,15.4,3,0.5,176,28,100,15.9,72,11.4,98,15.6,102,16.2,101,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,13.5,100,15.9,56,8.9,79,12.6,5,0.8,23,3.7,453,72,1,0.2,38,6,40,6.4,19,3,0,0,416,66.1,0,.,0,.
"061901120",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,106,18.8,1.7,1.9,0,1.1,0,.,.,.,4.6,0,0,0,0,12.5,.,.,.,0,747,15,2,35,4.7,177,23.7,5,0.6,233,31.2,134,17.9,131,17.5,111,14.9,95,12.7,115,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,26,3.5,160,21.4,0,0,139,18.6,5,0.7,37,5,514,68.8,0,0,61,8.2,47,6.3,14,1.9,0,0,397,53.1,0,.,0,.
"061901121",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,54,10.1,0,0,1,0,0,.,.,.,1.1,0,0,0,0,0,.,.,.,9.1,651,25,3.8,40,6.1,99,15.2,3,0.5,210,32.3,110,16.9,91,14,114,17.5,103,15.8,127,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,44,6.8,103,15.8,0,0,155,23.8,6,0.9,43,6.6,441,67.7,2,0.3,153,23.5,52,8,14,2.2,0,0,350,53.8,0,.,0,.
"061901122",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,53,9,0,0,0.9,0,0,.,.,.,0,11.1,0,0,0,0,.,.,.,0,719,23,3.2,29,4,18,2.5,0,0,87,12.1,117,16.3,119,16.6,129,17.9,133,18.5,105,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,65,9,115,16,0,0,103,14.3,4,0.6,32,4.5,632,87.9,0,0,93,12.9,42,5.8,10,1.4,0,0,561,78,0,.,0,.
"061901123",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,81,18,0,0,0,0,0,.,.,.,0,0,0,0,0,0,.,.,.,11.1,520,21,4,25,4.8,76,14.6,2,0.3,191,36.7,90,17.3,74,14.2,90,17.3,79,15.2,79,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.5,23,4.4,66,12.7,24,4.6,82,15.8,9,1.7,26,5,329,63.3,1,0.2,79,15.2,65,12.5,10,1.9,0,0,321,61.7,0,.,0,.
"061901124",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,10,2.6,153,39.9,57,14.9,0,0,344,89.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7.3,0,0,0,0,355,92.7,207,54,4,1,152,39.7,39,10.2,0,0,188,49.1,35,9.1,8,2.1,0,0,97,25.3,0,.,0,.
"061901125",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,53,15.9,1.8,0,0,0,0,.,.,.,0,0,0,0,0,0,.,.,.,0,462,10,2.2,29,6.3,82,17.7,0,0,209,45.2,68,14.7,63,13.6,71,15.4,52,11.3,54,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4.3,18,3.9,83,18,51,11,99,21.4,2,0.4,29,6.3,253,54.8,3,0.6,85,18.4,59,12.8,11,2.4,0,0,255,55.2,0,.,0,.
"061902001",37,5.1,53,7.4,0,0,587,81.4,134,18.6,721,100,133,18.4,236,32.7,3,0.4,487,16.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1819,168,9.2,229,12.6,304,16.7,58,2,799,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7,62,3.4,906,49.8,838,46.1,0,0,162,8.9,0,0,0,0,734,40.4,8,0.4,241,13.2,1020,56.1,2,0.1,762,41.9,245,13.5,35,1.9,773,42.5,568,31.2,64,8.9,259,35.9
"061902002",18,2.4,20,2.7,1,0.1,667,90.7,68,9.3,735,100,33,4.5,65,8.8,3,0.4,269,8.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3224,140,4.3,16,0.5,127,3.9,47,1.4,177,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,26.5,823,25.5,763,23.7,784,24.3,0,0,508,15.8,0,0,0,0,344,10.7,13,0.4,19,0.6,3047,94.5,3,0.1,413,12.8,238,7.4,67,2.1,906,28.1,2530,78.5,42,5.7,595,81
"061902004",23,6,24,6.2,0,0,351,90.9,35,9.1,386,100,44,11.4,100,25.9,2,0.5,238,11.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1955,111,5.7,64,3.3,189,9.7,104,5.1,704,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,27.1,502,25.7,478,24.5,445,22.8,0,0,183,9.4,0,0,0,0,603,30.8,8,0.4,77,3.9,1251,64,2,0.1,680,34.8,203,10.4,67,3.4,616,31.5,975,49.9,16,4.1,193,50
"061902005",7,4.4,4,2.5,0,0,58,36.3,102,63.8,160,100,13,8.1,70,43.8,2,1.3,357,86.7,.,.,.,.,.,.,100,14.3,.,.,0,.,0,0,0,0,100,.,210,6,2.9,26,12.4,25,11.9,17,3.5,89,42.4,1,0.5,0,0,2,1,0,0,4,1.9,2,1,13,6.2,18,8.6,19,9,14,6.7,62,29.5,75,35.7,0,0,1,0.5,0,0,0,0,104,49.5,1,0.5,28,13.3,121,57.6,0,0,176,83.8,34,16.2,7,3.3,50,23.8,67,31.9,4,2.5,64,40
"061902007",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,78,100,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,11,0,0,0,0,0,0,6,7.7,2,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.2,5,45.5,3,27.3,1,9.1,0,0,0,0,0,0,0,0,5,45.5,0,0,1,9.1,9,81.8,0,0,10,90.9,0,0,0,0,0,0,6,54.5,0,.,0,.
"061902008",17,2.5,174,25.9,0,0,592,88.2,79,11.8,671,100,80,11.9,92,13.7,2,0.3,268,11.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2226,564,25.3,64,2.9,255,11.5,49,2.1,407,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,753,33.8,770,34.6,701,31.5,0,0,300,13.5,0,0,0,0,333,15,5,0.2,76,3.4,1819,81.7,1,0,473,21.2,148,6.6,67,3,785,35.3,1001,45,47,7,306,45.6
"061902009",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,66,13.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,937,33,3.5,131,14,117,12.5,23,4.8,532,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,54.4,427,45.6,0,0,0,0,0,0,99,10.6,0,0,0,0,471,50.3,6,0.6,140,14.9,405,43.2,0,0,401,42.8,112,12,11,1.2,182,19.4,299,31.9,0,.,0,.
"061902010",23,3,45,5.9,2,0.3,700,91.4,66,8.6,766,100,32,4.2,77,10.1,2,0.3,185,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3256,322,9.9,14,0.4,103,3.2,37,1.1,96,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,24.8,886,27.2,754,23.2,807,24.8,0,0,556,17.1,0,0,0,0,304,9.3,12,0.4,17,0.5,3160,97.1,1,0,398,12.2,232,7.1,75,2.3,813,25,2439,74.9,34,4.4,585,76.4
"061902012",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,94,11.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,862,203,23.5,40,4.6,106,12.3,19,2.3,193,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,100,0,0,0,0,0,0,0,0,91,10.6,0,0,0,0,171,19.8,2,0.2,46,5.3,669,77.6,1,0.1,159,18.4,57,6.6,32,3.7,149,17.3,347,40.3,0,.,0,.
"061902014",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,91,15.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1061,100,9.4,146,13.8,211,19.9,26,4.4,594,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,51.1,519,48.9,0,0,0,0,0,0,102,9.6,0,0,0,0,436,41.1,2,0.2,157,14.8,467,44,3,0.3,446,42,121,11.4,30,2.8,185,17.4,279,26.3,0,.,0,.
"061902042",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,77,11.7,.,.,.,.,.,0,1.8,1.2,.,.,.,.,.,.,0,0,0,.,622,52,8.4,161,25.9,62,10,28,4.3,385,61.9,0,0,0,0,0,0,0,0,0,0,217,34.9,212,34.1,193,31,0,0,0,0,0,0,0,0,0,0,73,11.7,0,0,0,0,319,51.3,1,0.2,163,26.2,237,38.1,1,0.2,280,45,83,13.3,21,3.4,213,34.2,166,26.7,0,.,0,.
"061902044",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,60,8.2,.,.,.,.,.,0,0.5,0.5,.,.,.,.,.,.,0,0,0,.,696,32,4.6,29,4.2,74,10.6,25,3.4,290,41.7,0,0,0,0,0,0,0,0,0,0,233,33.5,228,32.8,235,33.8,0,0,0,0,0,0,0,0,0,0,83,11.9,0,0,0,0,219,31.5,8,1.1,45,6.5,406,58.3,1,0.1,176,25.3,95,13.6,27,3.9,120,17.2,335,48.1,0,.,0,.
"061902045",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,52,6,.,.,.,.,.,0.4,0.4,0.4,.,.,.,.,.,.,0,0,3.2,.,845,83,9.8,9,1.1,42,5,8,0.9,113,13.4,0,0,0,0,0,0,0,0,0,0,263,31.1,280,33.1,302,35.7,0,0,0,0,0,0,0,0,0,0,121,14.3,0,0,0,0,123,14.6,19,2.2,14,1.7,732,86.6,1,0.1,109,12.9,71,8.4,34,4,213,25.2,543,64.3,0,.,0,.
"061902046",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,86,10.5,.,.,.,.,.,0.4,0.4,0,.,.,.,.,.,.,0,0,0,.,834,47,5.6,54,6.5,87,10.4,15,1.8,347,41.6,0,0,0,0,0,0,0,0,0,0,295,35.4,270,32.4,269,32.3,0,0,0,0,0,0,0,0,0,0,66,7.9,0,0,0,0,278,33.3,7,0.8,56,6.7,487,58.4,1,0.1,227,27.2,110,13.2,36,4.3,274,32.9,378,45.3,0,.,0,.
"061902047",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,79,8.2,.,.,.,.,.,0.4,0.3,0.8,.,.,.,.,.,.,2.5,0,0,.,936,127,13.6,43,4.6,70,7.5,6,0.6,166,17.7,0,0,0,0,0,0,0,0,0,0,286,30.6,320,34.2,330,35.3,0,0,0,0,0,0,0,0,0,0,100,10.7,0,0,0,0,178,19,0,0,44,4.7,770,82.3,0,0,185,19.8,86,9.2,24,2.6,256,27.4,537,57.4,0,.,0,.
"061902048",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,30,4.5,.,.,.,.,.,0.9,0,0.6,.,.,.,.,.,.,0,0,0,.,637,62,9.7,5,0.8,18,2.8,1,0.2,39,6.1,0,0,0,0,0,0,0,0,0,0,186,29.2,227,35.6,224,35.2,0,0,0,0,0,0,0,0,0,0,110,17.3,0,0,0,0,58,9.1,6,0.9,7,1.1,598,93.9,1,0.2,58,9.1,51,8,19,3,277,43.5,473,74.3,0,.,0,.
"061902049",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,40,3.9,.,.,.,.,.,0,0,0.6,.,.,.,.,.,.,0,0,0,.,993,37,3.7,9,0.9,43,4.3,3,0.3,38,3.8,0,0,0,0,0,0,0,0,0,0,326,32.8,317,31.9,350,35.2,0,0,0,0,0,0,0,0,0,0,142,14.3,0,0,0,0,102,10.3,4,0.4,11,1.1,955,96.2,0,0,96,9.7,94,9.5,26,2.6,146,14.7,781,78.7,0,.,0,.
"061902050",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,167,18.6,.,.,.,.,.,0.4,1.3,0,.,.,.,.,.,.,0,0,0,.,845,33,3.9,383,45.3,78,9.2,51,5.7,739,87.5,0,0,0,0,0,0,0,0,0,0,301,35.6,278,32.9,266,31.5,0,0,0,0,0,0,0,0,0,0,88,10.4,0,0,0,0,611,72.3,5,0.6,392,46.4,106,12.5,1,0.1,579,68.5,130,15.4,13,1.5,90,10.7,104,12.3,0,.,0,.
"061902052",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,84,8.8,.,.,.,.,.,1.2,0.4,1.4,.,.,.,.,.,.,0,0,0,.,901,40,4.4,85,9.4,130,14.4,31,3.2,402,44.6,0,0,0,0,0,0,0,0,0,0,317,35.2,308,34.2,276,30.6,0,0,0,0,0,0,0,0,0,0,107,11.9,0,0,0,0,333,37,5,0.6,91,10.1,499,55.4,0,0,256,28.4,123,13.7,38,4.2,134,14.9,355,39.4,0,.,0,.
"061902053",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,44,3.8,.,.,.,.,.,0,0,0.6,.,.,.,.,.,.,0,0,3.3,.,1155,163,14.1,13,1.1,27,2.3,4,0.3,24,2.1,0,0,0,0,0,0,0,0,0,0,364,31.5,408,35.3,383,33.2,0,0,0,0,0,0,0,0,0,0,169,14.6,0,0,0,0,114,9.9,8,0.7,13,1.1,1131,97.9,0,0,86,7.4,78,6.8,18,1.6,235,20.3,825,71.4,0,.,0,.
"061902054",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,49,7.1,.,.,.,.,.,0,0.9,0.5,.,.,.,.,.,.,0,10.5,0,.,715,247,34.5,32,4.5,118,16.5,14,2,188,26.3,0,0,0,0,0,0,0,0,0,0,254,35.5,211,29.5,250,35,0,0,0,0,0,0,0,0,0,0,114,15.9,0,0,0,0,100,14,4,0.6,37,5.2,527,73.7,0,0,141,19.7,52,7.3,26,3.6,161,22.5,220,30.8,0,.,0,.
"061902055",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,24,3.4,.,.,.,.,.,0,0.5,0,.,.,.,.,.,.,0,0,0,.,677,35,5.2,5,0.7,11,1.6,2,0.3,23,3.4,0,0,0,0,0,0,0,0,0,0,214,31.6,240,35.5,223,32.9,0,0,0,0,0,0,0,0,0,0,106,15.7,0,0,0,0,52,7.7,5,0.7,5,0.7,654,96.6,1,0.1,48,7.1,44,6.5,12,1.8,102,15.1,561,82.9,0,.,0,.
"061902056",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,187,20,.,.,.,.,.,1.3,1.6,1.4,.,.,.,.,.,.,2.5,0,0,.,813,76,9.3,74,9.1,249,30.6,42,4.5,427,52.5,0,0,0,0,0,0,0,0,0,0,246,30.3,280,34.4,287,35.3,0,0,0,0,0,0,0,0,0,0,94,11.6,0,0,0,0,243,29.9,4,0.5,75,9.2,386,47.5,0,0,262,32.2,87,10.7,21,2.6,233,28.7,220,27.1,0,.,0,.
"061902058",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,38,4.7,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,804,103,12.8,6,0.7,27,3.4,2,0.2,35,4.4,0,0,0,0,0,0,0,0,0,0,269,33.5,282,35.1,253,31.5,0,0,0,0,0,0,0,0,0,0,150,18.7,0,0,0,0,80,10,0,0,6,0.7,769,95.6,0,0,63,7.8,65,8.1,19,2.4,202,25.1,575,71.5,0,.,0,.
"061902059",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,68,7.6,.,.,.,.,.,1.1,0.4,0,.,.,.,.,.,.,0,0,0,.,864,233,27,86,10,86,10,8,0.9,202,23.4,0,0,0,0,0,0,0,0,0,0,291,33.7,296,34.3,277,32.1,0,0,0,0,0,0,0,0,0,0,124,14.4,0,0,0,0,202,23.4,2,0.2,92,10.6,662,76.6,0,0,180,20.8,79,9.1,14,1.6,255,29.5,327,37.8,0,.,0,.
"061902101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,66,9.3,0,0,0,0,1.1,.,.,.,0,0,0,0,0,0,.,.,.,0,905,1,0.1,809,89.4,10,1.1,4,0.4,852,94.1,140,15.5,126,13.9,133,14.7,148,16.4,136,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3.2,133,14.7,89,9.8,866,95.7,1,0.1,794,87.7,53,5.9,0,0,836,92.4,92,10.2,3,0.3,0,0,24,2.7,0,.,0,.
"061902102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,63,24.7,2.1,0,0,0,0,.,.,.,2.4,0,0,0,12.5,0,.,.,.,20,361,7,1.9,96,26.6,43,11.9,1,0.3,251,69.5,46,12.7,45,12.5,38,10.5,43,11.9,50,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9,55,15.2,84,23.3,177,49,2,0.6,97,26.9,110,30.5,0,0,125,34.6,33,9.1,6,1.7,0,0,126,34.9,0,.,0,.
"061902104",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,120,16.2,3.3,0,1.6,0,1.7,.,.,.,3.8,5.9,0,5.3,0,5.6,.,.,.,22.2,828,89,10.7,586,70.8,40,4.8,2,0.2,732,88.4,144,17.4,137,16.5,130,15.7,137,16.5,125,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4.8,155,18.7,0,0,623,75.2,3,0.4,573,69.2,96,11.6,0,0,627,75.7,73,8.8,10,1.2,0,0,63,7.6,0,.,0,.
"061902105",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,92,14.9,4.8,4.8,2.3,0,2.4,.,.,.,5.3,11.1,5.9,0,0,0,.,.,.,0,564,58,10.3,413,73.2,37,6.6,1,0.1,485,86,79,14,93,16.5,97,17.2,88,15.6,97,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5.9,110,19.5,0,0,411,72.9,1,0.2,394,69.9,79,14,0,0,421,74.6,58,10.3,5,0.9,0,0,52,9.2,0,.,0,.
"061902106",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,80,14,1.2,2.3,0,0,0,.,.,.,0,0,0,0,0,0,.,.,.,0,671,43,6.4,58,8.6,147,21.9,6,0.9,324,48.3,97,14.5,95,14.2,104,15.5,90,13.4,113,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6.1,97,14.5,75,11.2,144,21.5,4,0.6,62,9.2,347,51.7,0,0,93,13.9,90,13.4,34,5.1,0,0,299,44.6,0,.,0,.
"061902107",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,86,18.1,0,0,0,0,0,.,.,.,1.3,0,0,0,0,0,.,.,.,0,509,41,8.1,51,10,57,11.2,4,0.6,223,43.8,76,14.9,74,14.5,97,19.1,81,15.9,68,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,21,4.1,74,14.5,36,7.1,128,25.1,3,0.6,54,10.6,286,56.2,0,0,88,17.3,35,6.9,22,4.3,0,0,258,50.7,0,.,0,.
"061902108",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,55,13.9,0,1.9,1.7,0,0,.,.,.,1.8,0,0,0,0,0,.,.,.,28.6,496,29,5.8,38,7.7,29,5.8,0,0,127,25.6,68,13.7,80,16.1,65,13.1,75,15.1,76,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,37,7.5,66,13.3,61,12.3,108,21.8,3,0.6,38,7.7,369,74.4,0,0,74,14.9,50,10.1,21,4.2,0,0,306,61.7,0,.,0,.
"061902109",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,55,9.5,2.1,0,1.2,0,0,.,.,.,4,0,0,0,0,0,.,.,.,0,762,4,0.5,494,64.8,28,3.7,1,0.1,531,69.7,114,15,110,14.4,117,15.4,106,13.9,109,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4.2,131,17.2,75,9.8,542,71.1,4,0.5,446,58.5,231,30.3,0,0,477,62.6,73,9.6,12,1.6,0,0,172,22.6,0,.,0,.
"061902110",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,25,7.2,0,0,0,0,0,.,.,.,1.7,0,0,0,0,0,.,.,.,0,401,9,2.2,9,2.2,15,3.7,0,0,50,12.5,68,17,70,17.5,56,14,80,20,75,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8.5,52,13,0,0,60,15,0,0,10,2.5,351,87.5,0,0,23,5.7,44,11,16,4,0,0,301,75.1,0,.,0,.
"061902111",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,77,21.2,0,0,0,0,0,.,.,.,0,0,0,0,0,0,.,.,.,0,456,20,4.4,65,14.3,83,18.2,9,1.7,287,62.9,59,12.9,65,14.3,69,15.1,66,14.5,47,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7,19,4.2,77,16.9,70,15.4,160,35.1,0,0,67,14.7,169,37.1,0,0,94,20.6,55,12.1,19,4.2,0,0,174,38.2,0,.,0,.
"061902112",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,26,5.3,1.4,2.7,0,0,0,.,.,.,1.5,0,0,0,0,0,.,.,.,18.2,524,26,5,11,2.1,17,3.2,0,0,67,12.8,89,17,81,15.5,89,17,101,19.3,96,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,45,8.6,67,12.8,0,0,69,13.2,4,0.8,12,2.3,457,87.2,1,0.2,26,5,47,9,23,4.4,0,0,384,73.3,0,.,0,.
"061902113",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,56,10.6,3.7,2,0,0,1.1,.,.,.,0,0,0,0,0,0,.,.,.,0,614,102,16.6,84,13.7,76,12.4,6,0.9,186,30.3,102,16.6,83,13.5,99,16.1,94,15.3,107,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,47,7.7,88,14.3,36,5.9,136,22.1,0,0,86,14,428,69.7,0,0,105,17.1,37,6,29,4.7,0,0,271,44.1,0,.,0,.
"061902114",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,22,5,0,1.6,0,0,0,.,.,.,7,0,0,0,16.7,0,.,.,.,40,463,15,3.2,3,0.6,8,1.7,1,0.2,26,5.6,66,14.3,71,15.3,80,17.3,83,17.9,97,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7.8,66,14.3,0,0,38,8.2,1,0.2,4,0.9,437,94.4,0,0,18,3.9,41,8.9,6,1.3,0,0,395,85.3,0,.,0,.
"061902115",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,49,12.1,4.5,1.7,0,0,0,.,.,.,0,20,22.2,0,0,0,.,.,.,50,499,17,3.4,36,7.2,57,11.4,2,0.4,218,43.7,71,14.2,77,15.4,73,14.6,68,13.6,93,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,30,6,73,14.6,39,7.8,148,29.7,4,0.8,41,8.2,281,56.3,3,0.6,82,16.4,62,12.4,21,4.2,0,0,249,49.9,0,.,0,.
