CAMPUS,C20GR12N,C20GR12R,C30GR12N,C30GR12R,C40GR12N,C40GR12R,CA0GH12N,CA0GH12R,CA0GM12N,CA0GM12R,CA0GR12N,CA0GR12R,CB0GR12N,CB0GR12R,CH0GR12N,CH0GR12R,CI0GR12N,CI0GR12R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR12N,CS0GR12R,CW0GR12N,CW0GR12R
"241901001",1,1.4,1,1.4,0,0,38,52.8,34,47.2,72,100,10,13.9,28,38.9,0,0,24,8.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,292,1,0.3,3,1,34,11.6,7,2.4,136,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,33.6,67,22.9,71,24.3,56,19.2,0,0,10,3.4,0,0,0,0,144,49.3,0,0,3,1,156,53.4,0,0,136,46.6,28,9.6,3,1,267,91.4,110,37.7,12,16.7,32,44.4
"241901041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,21,7.6,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,267,1,0.4,1,0.4,26,9.7,5,1.8,143,53.6,0,0,0,0,0,0,0,0,0,0,91,34.1,87,32.6,89,33.3,0,0,0,0,0,0,0,0,0,0,10,3.7,0,0,0,0,137,51.3,1,0.4,2,0.7,124,46.4,0,0,59,22.1,14,5.2,0,0,66,24.7,102,38.2,0,.,0,.
"241901101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,33,7.7,1.2,0,1.2,0,0,.,.,.,1.6,50,0,0,0,0,.,.,.,20,509,2,0.4,46,9,53,10.4,2,0.4,312,61.3,77,15.1,81,15.9,74,14.5,88,17.3,90,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.8,71,13.9,28,5.5,271,53.2,0,0,46,9,197,38.7,0,0,198,38.9,26,5.1,11,2.2,0,0,172,33.8,0,.,0,.
"241902001",0,0,0,0,0,0,46,67.6,22,32.4,68,100,6,8.8,22,32.4,0,0,15,5.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,288,0,0,11,3.8,22,7.6,0,0,80,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,29.5,63,21.9,84,29.2,56,19.4,0,0,4,1.4,0,0,0,0,79,27.4,0,0,11,3.8,208,72.2,0,0,103,35.8,23,8,3,1,237,82.3,184,63.9,5,7.4,40,58.8
"241902041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,24,7.3,.,.,.,.,0,1.2,0,0,.,.,.,.,.,0,0,0,0,.,325,0,0,16,4.9,14,4.3,0,0,112,34.5,0,0,0,0,0,0,0,0,82,25.2,73,22.5,88,27.1,82,25.2,0,0,0,0,0,0,0,0,0,0,28,8.6,0,0,0,0,85,26.2,0,0,16,4.9,213,65.5,0,0,85,26.2,21,6.5,0,0,27,8.3,226,69.5,0,.,0,.
"241902101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,33,11.1,1.7,0,4.9,0,.,.,.,.,0,0,0,0,0,.,.,.,.,0,343,1,0.3,34,9.9,26,7.6,0,0,143,41.7,72,21,54,15.7,74,21.6,62,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.4,55,16,26,7.6,105,30.6,0,0,34,9.9,200,58.3,0,0,70,20.4,16,4.7,2,0.6,0,0,209,60.9,0,.,0,.
"241903001",0,0,1,0.4,0,0,174,74,61,26,235,100,20,8.5,120,51.1,1,0.4,128,12.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,969,1,0.1,19,2,135,13.9,23,2.2,509,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,29.9,262,27,242,25,175,18.1,0,0,169,17.4,0,0,0,0,515,53.1,1,0.1,19,2,460,47.5,0,0,500,51.6,72,7.4,5,0.5,841,86.8,312,32.2,19,8.1,93,39.6
"241903041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,74,9.6,.,.,.,.,.,0.5,0.8,1.9,.,.,.,.,.,.,0,0,9.5,.,771,2,0.3,44,5.7,119,15.4,20,2.6,513,66.5,0,0,0,0,0,0,0,0,0,0,275,35.7,241,31.3,255,33.1,0,0,0,0,0,0,0,0,0,0,113,14.7,0,0,0,0,435,56.4,0,0,44,5.7,258,33.5,0,0,331,42.9,58,7.5,7,0.9,0,0,208,27,0,.,0,.
"241903102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,52,8.4,.,5.8,2.6,.,.,.,.,.,.,.,5.6,3.8,.,.,.,.,.,.,563,0,0,98,17.4,59,10.5,0,0,413,73.4,0,0,289,51.3,274,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8.9,0,0,0,0,369,65.5,1,0.2,101,17.9,150,26.6,0,0,326,57.9,27,4.8,7,1.2,0,0,127,22.6,0,.,0,.
"241903103",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,49,8.4,.,.,.,0,0,.,.,.,.,.,.,.,4.3,0,.,.,.,.,567,3,0.5,90,15.9,67,11.8,3,0.5,380,67,0,0,0,0,0,0,282,49.7,285,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,12.5,0,0,0,0,342,60.3,8,1.4,91,16,187,33,1,0.2,151,26.6,37,6.5,4,0.7,0,0,142,25,0,.,0,.
