DISTRICT,D20GR15N,D20GR15R,D30GR15N,D30GR15R,D40GR15N,D40GR15R,DA0GA15N,DA0GA15P,DA0GE15N,DA0GE15P,DA0GH15N,DA0GH15P,DA0GM15N,DA0GM15P,DA0GN15N,DA0GN15P,DA0GR15N,DA0GR15R,DB0GR15N,DB0GR15R,DE0GR15N,DE0GR15R,DH0GR15N,DH0GR15R,DI0GR15N,DI0GR15R,DL0GR15N,DL0GR15R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DR0GR15N,DR0GR15R,DS0GR15N,DS0GR15R,DW0GR15N,DW0GR15R
"034902",0,0,0,0,0,0,0,0,0,0,9,52.9,8,47.1,0,0,17,100,2,11.8,12,70.6,1,5.9,0,0,0,0,145,1,0.7,27,18.6,0,0,119,82.1,8,5.5,0,0,5,3.4,26,17.9,0,0,45,31,16,11,93,64.1,9,52.9,3,17.6,14,82.4
"034903",1,1.6,0,0,0,0,36,56.3,0,0,21,32.8,7,10.9,0,0,64,100,8,12.5,30,46.9,7,10.9,1,1.6,0,0,1243,2,0.2,154,12.4,17,1.3,686,55.2,119,9.6,3,0.2,40,3.2,557,44.8,1,0.1,519,41.8,50,4,914,73.5,10,15.6,5,7.8,47,73.4
"034905",0,0,1,1.9,0,0,0,0,0,0,39,73.6,14,26.4,0,0,53,100,16,30.2,34,64.2,8,15.1,0,0,0,0,712,6,0.8,151,21.2,11,1.3,508,71.3,58,8.1,1,0.1,24,3.4,204,28.7,0,0,298,41.9,26,3.7,470,66,33,62.3,5,9.4,28,52.8
"034906",0,0,0,0,0,0,0,0,0,0,14,58.3,5,20.8,5,20.8,24,100,0,0,6,25,1,4.2,0,0,0,0,353,2,0.6,5,1.4,4,1,119,33.7,2,0.6,2,0.6,0,0,234,66.3,0,0,143,40.5,5,1.4,337,95.5,7,29.2,0,0,23,95.8
"034907",1,1.3,0,0,0,0,0,0,0,0,67,87,10,13,0,0,77,100,5,6.5,35,45.5,4,5.2,0,0,0,0,1010,6,0.6,128,12.7,8,0.7,571,56.5,28,2.8,10,1,4,0.4,439,43.5,0,0,370,36.6,43,4.3,795,78.7,17,22.1,7,9.1,67,87
"034909",0,0,0,0,0,0,0,0,0,0,14,63.6,8,36.4,0,0,22,100,0,0,9,40.9,0,0,0,0,0,0,274,4,1.5,9,3.3,2,0.7,156,56.9,9,3.3,5,1.8,5,1.8,118,43.1,0,0,111,40.5,1,0.4,246,89.8,4,18.2,1,4.5,22,100
"035901",0,0,0,0,0,0,0,0,0,0,70,86.4,11,13.6,0,0,81,100,3,3.7,61,75.3,62,76.5,0,0,5,6.2,1203,6,0.5,18,1.5,7,0.5,1071,89,1035,86,1,0.1,237,19.7,132,11,0,0,590,49,3,0.2,140,11.6,34,42,5,6.2,16,19.8
"035902",0,0,0,0,0,0,0,0,0,0,8,72.7,3,27.3,0,0,11,100,0,0,9,81.8,11,100,0,0,0,0,256,0,0,5,2,1,0.4,230,89.8,240,93.8,0,0,22,8.6,26,10.2,0,0,150,58.6,2,0.8,9,3.5,5,45.5,2,18.2,0,0
"035903",0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,0,15,100,0,0,1,6.7,1,6.7,0,0,0,0,231,0,0,2,0.9,0,0,30,13,23,10,5,2.2,4,1.7,201,87,0,0,46,19.9,0,0,201,87,1,6.7,0,0,14,93.3
"036901",4,4.9,2,2.5,0,0,0,0,0,0,65,80.2,15,18.5,1,1.2,81,100,14,17.3,26,32.1,26,32.1,0,0,1,1.2,1298,21,1.6,173,13.3,26,2,755,58.2,390,30,6,0.5,102,7.9,543,41.8,0,0,420,32.4,40,3.1,668,51.5,24,29.6,3,3.7,35,43.2
"036902",6,1.9,1,0.3,0,0,0,0,0,0,261,81.8,23,7.2,35,11,319,100,8,2.5,42,13.2,78,24.5,3,0.9,0,0,5079,41,0.8,165,3.2,69,1.3,873,17.2,1116,22,34,0.7,149,2.9,4206,82.8,4,0.1,1385,27.3,96,1.9,3623,71.3,94,29.5,12,3.8,223,69.9
"036903",2,2.5,0,0,0,0,0,0,0,0,73,90.1,8,9.9,0,0,81,100,5,6.2,30,37,27,33.3,0,0,3,3.7,1457,15,1,108,7.4,16,1.1,818,56.1,603,41.4,0,0,335,23,639,43.9,0,0,627,43,23,1.6,708,48.6,9,11.1,8,9.9,47,58
"037901",2,3.7,0,0,0,0,0,0,0,0,40,74.1,14,25.9,0,0,54,100,20,37,26,48.1,13,24.1,0,0,0,0,643,2,0.3,159,24.7,2,0.3,444,69.1,213,33.1,0,0,102,15.9,199,30.9,0,0,343,53.3,27,4.2,242,37.6,34,63,8,14.8,19,35.2
"037904",1,0.4,2,0.8,0,0,0,0,0,0,200,83.3,40,16.7,0,0,240,100,39,16.3,155,64.6,117,48.8,0,0,13,5.4,4973,22,0.4,812,16.3,91,1.7,3882,78.1,2501,50.3,25,0.5,1382,27.8,1091,21.9,3,0.1,3386,68.1,132,2.7,1478,29.7,107,44.6,20,8.3,81,33.8
"037907",3,2.4,2,1.6,0,0,0,0,0,0,79,64.2,44,35.8,0,0,123,100,11,8.9,41,33.3,18,14.6,2,1.6,3,2.4,2162,3,0.1,311,14.4,37,1.6,1312,60.7,335,15.5,3,0.1,117,5.4,850,39.3,0,0,904,41.8,68,3.1,1442,66.7,29,23.6,16,13,87,70.7
"037908",0,0,0,0,0,0,0,0,0,0,27,100,0,0,0,0,27,100,1,3.7,24,88.9,24,88.9,0,0,3,11.1,547,3,0.5,21,3.8,0,0,526,96.2,449,82.1,1,0.2,225,41.1,21,3.8,0,0,388,70.9,2,0.4,71,13,18,66.7,0,0,2,7.4
"037909",1,4,0,0,0,0,0,0,0,0,21,84,4,16,0,0,25,100,2,8,12,48,0,0,0,0,0,0,283,0,0,22,7.8,6,1.7,188,66.4,32,11.3,0,0,16,5.7,95,33.6,0,0,168,59.4,14,4.9,215,76,18,72,1,4,22,88
"038901",2,2.6,0,0,0,0,0,0,0,0,50,64.9,11,14.3,16,20.8,77,100,5,6.5,32,41.6,23,29.9,1,1.3,0,0,1134,17,1.5,48,4.2,8,0.6,606,53.4,437,38.5,11,1,29,2.6,528,46.6,3,0.3,390,34.4,16,1.4,602,53.1,34,44.2,8,10.4,46,59.7
"039902",6,8.6,0,0,1,1.4,0,0,0,0,49,70,21,30,0,0,70,100,0,0,18,25.7,9,12.9,2,2.9,0,0,963,2,0.2,10,1,3,0.3,394,40.9,75,7.8,12,1.2,3,0.3,569,59.1,0,0,375,38.9,28,2.9,836,86.8,27,38.6,13,18.6,52,74.3
"039903",1,2.5,0,0,0,0,0,0,0,0,32,80,8,20,0,0,40,100,0,0,14,35,6,15,0,0,0,0,513,1,0.2,3,0.6,2,0.4,262,51.1,69,13.5,10,1.9,4,0.8,251,48.9,1,0.2,99,19.3,13,2.5,416,81.1,7,17.5,4,10,33,82.5
"039904",1,6.7,0,0,0,0,0,0,0,0,10,66.7,5,33.3,0,0,15,100,0,0,7,46.7,1,6.7,0,0,0,0,145,0,0,3,2.1,3,1.7,70,48.3,10,6.9,1,0.7,0,0,75,51.7,0,0,58,40,7,4.8,124,85.5,8,53.3,1,6.7,13,86.7
"039905",0,0,0,0,0,0,0,0,0,0,3,50,3,50,0,0,6,100,0,0,1,16.7,0,0,0,0,0,0,104,0,0,0,0,2,1.7,55,52.9,4,3.8,0,0,0,0,49,47.1,0,0,16,15.4,0,0,100,96.2,4,66.7,3,50,6,100
"040901",0,0,0,0,0,0,1,3.4,0,0,14,48.3,7,24.1,7,24.1,29,100,3,10.3,27,93.1,20,69,0,0,2,6.9,419,0,0,8,1.9,3,0.6,391,93.3,373,89,0,0,75,17.9,28,6.7,0,0,296,70.6,3,0.7,35,8.4,17,58.6,3,10.3,6,20.7
"040902",1,3.7,0,0,1,3.7,0,0,0,0,21,77.8,4,14.8,2,7.4,27,100,1,3.7,16,59.3,9,33.3,0,0,0,0,343,0,0,12,3.5,2,0.5,194,56.6,175,51,2,0.6,11,3.2,149,43.4,0,0,114,33.2,1,0.3,153,44.6,11,40.7,2,7.4,15,55.6
"041901",0,0,1,4,0,0,19,76,0,0,0,0,6,24,0,0,25,100,0,0,8,32,5,20,0,0,0,0,262,0,0,1,0.4,0,0,129,49.2,95,36.3,0,0,6,2.3,133,50.8,0,0,105,40.1,1,0.4,165,63,0,0,2,8,19,76
"041902",0,0,0,0,0,0,0,0,0,0,9,75,3,25,0,0,12,100,1,8.3,5,41.7,3,25,0,0,0,0,289,0,0,4,1.4,1,0.3,175,60.6,114,39.4,1,0.3,4,1.4,114,39.4,0,0,108,37.4,2,0.7,168,58.1,4,33.3,1,8.3,8,66.7
"042901",2,3.2,1,1.6,0,0,0,0,0,0,50,79.4,10,15.9,3,4.8,63,100,1,1.6,31,49.2,17,27,0,0,0,0,916,6,0.7,24,2.6,9,0.9,581,63.4,243,26.5,5,0.5,18,2,335,36.6,0,0,412,45,19,2.1,619,67.6,24,38.1,4,6.3,42,66.7
"042903",0,0,0,0,0,0,0,0,0,0,10,66.7,5,33.3,0,0,15,100,0,0,9,60,5,33.3,0,0,0,0,255,0,0,9,3.5,0,0,196,76.9,61,23.9,3,1.2,0,0,59,23.1,0,0,98,38.4,13,5.1,169,66.3,9,60,2,13.3,10,66.7
"042905",1,10,0,0,0,0,0,0,0,0,9,90,1,10,0,0,10,100,0,0,4,40,2,20,0,0,0,0,150,2,1.3,1,0.7,0,0,24,16,31,20.7,0,0,0,0,126,84,0,0,6,4,2,1.3,114,76,1,10,1,10,7,70
"043801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1192,288,24.2,132,11.1,0,0,84,7,161,13.5,15,1.3,50,4.2,1108,93,4,0.3,96,8.1,55,4.6,537,45.1,.,.,.,.,.,.
"043901",39,2.9,187,13.7,2,0.1,0,0,0,0,1198,87.8,167,12.2,0,0,1365,100,147,10.8,182,13.3,179,13.1,15,1.1,43,3.2,20739,3588,17.3,2433,11.7,117,0.5,3093,14.9,2607,12.6,119,0.6,1200,5.8,17646,85.1,66,0.3,5499,26.5,931,4.5,10995,53,414,30.3,106,7.8,796,58.3
"043902",3,2.1,0,0,0,0,0,0,0,0,124,86.7,19,13.3,0,0,143,100,17,11.9,49,34.3,45,31.5,1,0.7,3,2.1,3051,21,0.7,280,9.2,52,1.6,1379,45.2,958,31.4,22,0.7,352,11.5,1672,54.8,1,0,752,24.6,125,4.1,1644,53.9,65,45.5,17,11.9,77,53.8
"043903",4,2.6,3,2,0,0,0,0,0,0,146,96.1,5,3.3,1,0.7,152,100,9,5.9,44,28.9,31,20.4,3,2,1,0.7,2349,17,0.7,81,3.4,24,1,586,24.9,571,24.3,23,1,149,6.3,1763,75.1,0,0,560,23.8,93,4,1564,66.6,27,17.8,14,9.2,102,67.1
"043904",2,1.8,0,0,0,0,0,0,0,0,91,82,20,18,0,0,111,100,11,9.9,42,37.8,22,19.8,1,0.9,0,0,1559,8,0.5,50,3.2,17,1,825,52.9,521,33.4,11,0.7,149,9.6,734,47.1,0,0,430,27.6,32,2.1,937,60.1,17,15.3,7,6.3,75,67.6
"043905",84,3.1,334,12.3,10,0.4,28,1,0,0,2384,88.1,282,10.4,13,0.5,2707,100,360,13.3,342,12.6,429,15.8,24,0.9,30,1.1,53130,11087,20.9,5547,10.4,187,0.4,5750,10.8,7313,13.8,313,0.6,2650,5,47380,89.2,42,0.1,8590,16.2,1766,3.3,27062,50.9,500,18.5,133,4.9,1466,54.2
"043907",42,2.5,53,3.2,3,0.2,0,0,0,0,1538,92.8,120,7.2,0,0,1658,100,204,12.3,327,19.7,387,23.3,13,0.8,32,1.9,24626,987,4,3270,13.3,253,1,7548,30.7,6935,28.2,134,0.5,2728,11.1,17078,69.3,69,0.3,7228,29.4,682,2.8,12549,51,294,17.7,91,5.5,956,57.7
