DISTRICT,DA0GR07N,DA0GR07P,DB0GR07N,DB0GR07P,DH0GR07N,DH0GR07P,DI0GR07N,DI0GR07P,DP0GR07N,DP0GR07P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETWHIC,DPETWHIP,DS0GR07N,DS0GR07P,DW0GR07N,DW0GR07P
"015904",693,100,3,0.4,652,94.1,0,0,0,0,14101,1852,13.1,88,0.6,485,3.1,12809,90.8,13502,95.8,13,0.1,2075,14.7,13,0.1,9049,64.2,485,3.4,92,13.3,38,5.5
"015905",422,100,3,0.7,413,97.9,0,0,0,0,11735,2033,17.3,154,1.3,243,1.8,11095,94.5,11472,97.8,7,0.1,2329,19.8,9,0.1,8730,74.4,93,0.8,64,15.2,6,1.4
"015906",62,100,10,16.1,11,17.7,0,0,3,4.8,1159,6,0.5,268,23.1,0,0,132,11.4,201,17.3,5,0.4,6,0.5,55,4.7,257,22.2,630,54.4,5,8.1,38,61.3
"015907",2140,100,200,9.3,1842,86.1,2,0.1,9,0.4,54726,8309,15.2,4290,7.8,1256,2,48302,88.3,48675,88.9,61,0.1,9238,16.9,132,0.2,37419,68.4,1568,2.9,342,16,87,4.1
"015908",428,100,4,0.9,412,96.3,0,0,1,0.2,9804,1561,15.9,160,1.6,273,2.4,8655,88.3,9405,95.9,14,0.1,1674,17.1,24,0.2,8236,84,201,2.1,71,16.6,11,2.6
"015909",136,100,2,1.5,104,76.5,0,0,2,1.5,3551,343,9.7,56,1.6,85,2.1,2789,78.5,2996,84.4,5,0.1,416,11.7,9,0.3,1849,52.1,485,13.7,23,16.9,28,20.6
"015910",3779,100,337,8.9,1476,39.1,13,0.3,129,3.4,61910,4380,7.1,5786,9.3,2441,3.6,24275,39.2,29341,47.4,202,0.3,4784,7.7,2309,3.7,23235,37.5,24272,39.2,461,12.2,1824,48.3
"015911",436,100,51,11.7,191,43.8,0,0,2,0.5,8770,473,5.4,983,11.2,308,3.2,4954,56.5,5191,59.2,29,0.3,485,5.5,48,0.5,4549,51.9,2519,28.7,77,17.7,192,44
"015912",521,100,26,5,441,84.6,1,0.2,2,0.4,10911,1531,14,324,3,428,3.6,8799,80.6,9692,88.8,14,0.1,1660,15.2,72,0.7,7492,68.7,809,7.4,63,12.1,51,9.8
"015913",34,100,8,23.5,10,29.4,0,0,0,0,859,21,2.4,184,21.4,0,0,298,34.7,179,20.8,7,0.8,21,2.4,37,4.3,167,19.4,452,52.6,5,14.7,16,47.1
"015914",71,100,24,33.8,14,19.7,1,1.4,3,4.2,1425,42,2.9,427,30,21,1.2,473,33.2,260,18.2,18,1.3,45,3.2,64,4.5,212,14.9,656,46,9,12.7,29,40.8
"015915",4300,100,352,8.2,2352,54.7,12,0.3,148,3.4,85544,4771,5.6,6684,7.8,1750,1.9,40521,47.4,54013,63.1,253,0.3,5735,6.7,2852,3.3,36239,42.4,21742,25.4,477,11.1,1436,33.4
"015916",1047,100,306,29.2,413,39.4,6,0.6,43,4.1,20601,1295,6.3,5636,27.4,648,2.8,12004,58.3,9796,47.6,60,0.3,1609,7.8,509,2.5,9177,44.5,4600,22.3,107,10.2,279,26.6
"015917",236,100,7,3,184,78,0,0,4,1.7,4991,578,11.6,92,1.8,230,4.1,3646,73.1,4244,85,4,0.1,625,12.5,36,0.7,2866,57.4,615,12.3,36,15.3,41,17.4
"016901",35,100,0,0,6,17.1,0,0,0,0,678,45,6.6,7,1,16,2.2,201,29.6,152,22.4,11,1.6,47,6.9,7,1,274,40.4,501,73.9,5,14.3,29,82.9
"016902",68,100,1,1.5,11,16.2,2,2.9,0,0,983,57,5.8,14,1.4,20,1.9,417,42.4,281,28.6,6,0.6,57,5.8,2,0.2,400,40.7,680,69.2,10,14.7,54,79.4
"017901",19,100,0,0,3,15.8,1,5.3,0,0,166,4,2.4,0,0,0,0,57,34.3,32,19.3,13,7.8,4,2.4,0,0,45,27.1,121,72.9,2,10.5,15,78.9
