DISTRICT,D20GR14N,D20GR14R,D30GR14N,D30GR14R,D40GR14N,D40GR14R,DA0GF14N,DA0GF14P,DA0GH14N,DA0GH14P,DA0GM14N,DA0GM14P,DA0GR14N,DA0GR14R,DB0GR14N,DB0GR14R,DH0GR14N,DH0GR14R,DI0GR14N,DI0GR14R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR14N,DS0GR14R,DW0GR14N,DW0GR14R
"057909",73,1.8,349,8.8,4,0.1,34,0.9,3315,83.8,608,15.4,3957,100,706,17.8,1734,43.8,27,0.7,57323,4764,8.3,9827,17.1,760,1.2,34728,60.6,28061,49,1075,1.9,14264,24.9,22595,39.4,49,0.1,32315,56.4,1203,2.1,12344,21.5,238,6,1064,26.9
"057910",34,2,67,3.8,3,0.2,0,0,1500,86.1,242,13.9,1742,100,325,18.7,1074,61.7,6,0.3,28304,921,3.3,5057,17.9,512,1.7,20491,72.4,18315,64.7,98,0.3,7898,27.9,7813,27.6,31,0.1,18993,67.1,480,1.7,3402,12,104,6,233,13.4
"057911",6,1.2,10,2,0,0,0,0,487,97,15,3,502,100,2,0.4,28,5.6,0,0,7061,371,5.3,37,0.5,11,0.2,0,0,349,4.9,19,0.3,50,0.7,7061,100,10,0.1,717,10.2,114,1.6,6161,87.3,21,4.2,456,90.8
"057912",29,1.5,116,5.8,2,0.1,0,0,1518,76,480,24,1998,100,250,12.5,1358,68,7,0.4,35085,1166,3.3,4559,13,808,2.1,27915,79.6,25219,71.9,466,1.3,13807,39.4,7170,20.4,61,0.2,25946,74,391,1.1,3223,9.2,132,6.6,236,11.8
"057913",1,0.3,1,0.3,0,0,0,0,328,89.9,37,10.1,365,100,300,82.2,56,15.3,1,0.3,7051,10,0.1,5448,77.3,234,3,6065,86,1337,19,55,0.8,495,7,986,14,3,0,3828,54.3,52,0.7,146,2.1,38,10.4,6,1.6
"057914",58,2.3,67,2.6,4,0.2,1,0,2037,80.1,505,19.9,2543,100,671,26.4,1189,46.8,23,0.9,40170,670,1.7,9912,24.7,880,2,29517,73.5,21864,54.4,199,0.5,8979,22.4,10653,26.5,52,0.1,21672,54,792,2,6681,16.6,259,10.2,531,20.9
"057916",50,2.4,176,8.5,6,0.3,0,0,1606,77.1,476,22.9,2082,100,426,20.5,659,31.7,9,0.4,38496,2677,7,8330,21.6,374,0.9,22114,57.4,15399,40,145,0.4,9827,25.5,16382,42.6,39,0.1,18494,48,1025,2.7,10881,28.3,139,6.7,756,36.3
"057919",1,1.2,27,31.4,0,0,0,0,85,98.8,1,1.2,86,100,4,4.7,8,9.3,1,1.2,1511,343,22.7,123,8.1,1,0.1,201,13.3,152,10.1,3,0.2,36,2.4,1310,86.7,1,0.1,283,18.7,55,3.6,834,55.2,5,5.8,45,52.3
"057922",14,1.7,184,22.2,3,0.4,0,0,810,97.9,17,2.1,827,100,40,4.8,100,12.1,6,0.7,11539,4397,38.1,511,4.4,48,0.4,1149,10,1523,13.2,57,0.5,1108,9.6,10390,90,11,0.1,2942,25.5,351,3,4689,40.6,22,2.7,480,58
"058902",0,0,0,0,0,0,0,0,18,100,0,0,18,100,0,0,14,77.8,0,0,173,1,0.6,0,0,1,0.5,87,50.3,98,56.6,2,1.2,12,6.9,86,49.7,0,0,66,38.2,0,0,72,41.6,1,5.6,4,22.2
"058905",0,0,0,0,0,0,0,0,12,85.7,2,14.3,14,100,0,0,3,21.4,0,0,258,2,0.8,1,0.4,2,0.7,90,34.9,91,35.3,1,0.4,19,7.4,168,65.1,0,0,58,22.5,3,1.2,160,62,2,14.3,11,78.6
"058906",1,0.9,0,0,0,0,2,1.8,94,86.2,13,11.9,109,100,7,6.4,73,67,0,0,2034,9,0.4,76,3.7,29,1.3,1561,76.7,1634,80.3,11,0.5,115,5.7,473,23.3,0,0,1317,64.7,18,0.9,286,14.1,4,3.7,28,25.7
"058909",0,0,0,0,0,0,0,0,9,90,1,10,10,100,0,0,5,50,0,0,235,2,0.9,0,0,0,0,132,56.2,102,43.4,3,1.3,29,12.3,103,43.8,0,0,109,46.4,2,0.9,126,53.6,0,0,5,50
"059901",1,0.5,1,0.5,0,0,0,0,164,74.9,55,25.1,219,100,1,0.5,182,83.1,0,0,4201,10,0.2,21,0.5,97,2.1,3490,83.1,3661,87.1,4,0.1,722,17.2,711,16.9,2,0,3087,73.5,19,0.5,484,11.5,21,9.6,34,15.5
"059902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132,0,0,0,0,0,0,88,66.7,105,79.5,0,0,12,9.1,44,33.3,0,0,60,45.5,0,0,27,20.5,.,.,.,.
"060902",0,0,0,0,0,0,0,0,35,53.8,30,46.2,65,100,8,12.3,3,4.6,2,3.1,808,4,0.5,99,12.3,10,1.1,485,60,83,10.3,11,1.4,17,2.1,323,40,0,0,334,41.3,32,4,579,71.7,13,20,52,80
"060914",2,16.7,0,0,0,0,0,0,6,50,6,50,12,100,4,33.3,0,0,1,8.3,173,2,1.2,54,31.2,0,0,140,80.9,6,3.5,2,1.2,6,3.5,33,19.1,0,0,65,37.6,7,4,102,59,4,33.3,5,41.7
"061802",0,0,0,0,0,0,0,0,18,75,6,25,24,100,5,20.8,3,12.5,0,0,480,3,0.6,59,12.3,0,0,268,55.8,211,44,1,0.2,122,25.4,212,44.2,0,0,334,69.6,13,2.7,193,40.2,4,16.7,16,66.7
"061804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,520,204,39.2,39,7.5,0,0,27,5.2,65,12.5,2,0.4,41,7.9,493,94.8,0,0,44,8.5,16,3.1,194,37.3,.,.,.,.
"061901",46,3,43,2.8,0,0,0,0,1363,90.3,147,9.7,1510,100,193,12.8,411,27.2,18,1.2,26746,732,2.7,3323,12.4,374,1.3,11299,42.2,8074,30.2,217,0.8,3952,14.8,15447,57.8,42,0.2,10481,39.2,486,1.8,13872,51.9,82,5.4,799,52.9
"061902",81,2.2,377,10.4,2,0.1,25,0.7,3126,85.8,491,13.5,3642,100,343,9.4,787,21.6,9,0.2,53270,6546,12.3,5242,9.8,671,1.2,17081,32.1,14868,27.9,247,0.5,7884,14.8,36189,67.9,44,0.1,17334,32.5,1731,3.2,24592,46.2,220,6,2043,56.1
"061903",2,2.3,0,0,0,0,0,0,76,87.4,11,12.6,87,100,5,5.7,32,36.8,0,0,1388,9,0.6,37,2.7,13,0.9,711,51.2,551,39.7,16,1.2,278,20,677,48.8,5,0.4,721,51.9,31,2.2,739,53.2,9,10.3,48,55.2
"061905",0,0,1,1,0,0,0,0,93,93.9,6,6.1,99,100,1,1,27,27.3,0,0,2063,7,0.3,45,2.2,23,1.1,746,36.2,521,25.3,13,0.6,167,8.1,1317,63.8,1,0,846,41,46,2.2,1430,69.3,4,4,70,70.7
"061906",1,1.3,1,1.3,0,0,0,0,72,90,8,10,80,100,0,0,14,17.5,0,0,1300,5,0.4,23,1.8,7,0.5,522,40.2,261,20.1,6,0.5,67,5.2,778,59.8,1,0.1,401,30.8,20,1.5,984,75.7,6,7.5,64,80
"061907",3,2.1,1,0.7,0,0,0,0,109,77.3,32,22.7,141,100,0,0,19,13.5,1,0.7,2211,16,0.7,93,4.2,11,0.5,633,28.6,371,16.8,17,0.8,85,3.8,1578,71.4,4,0.2,668,30.2,38,1.7,1672,75.6,6,4.3,117,83
"061908",3,1.9,0,0,0,0,0,0,131,81.9,29,18.1,160,100,2,1.3,31,19.4,2,1.3,2643,19,0.7,70,2.6,18,0.6,1142,43.2,637,24.1,23,0.9,168,6.4,1501,56.8,3,0.1,992,37.5,77,2.9,1814,68.6,12,7.5,122,76.3
"061910",1,0.6,0,0,0,0,8,4.5,160,90.9,8,4.5,176,100,0,0,13,7.4,2,1.1,2049,16,0.8,11,0.5,2,0.1,238,11.6,213,10.4,9,0.4,60,2.9,1811,88.4,0,0,389,19,34,1.7,1766,86.2,7,4,160,90.9
"061911",19,1.8,34,3.2,2,0.2,2,0.2,902,83.8,172,16,1076,100,79,7.3,213,19.8,7,0.7,19760,602,3,1262,6.4,129,0.6,3803,19.2,3963,20.1,100,0.5,947,4.8,15957,80.8,32,0.2,6301,31.9,521,2.6,13280,67.2,96,8.9,722,67.1
"061912",17,6.2,8,2.9,1,0.4,0,0,256,93.4,18,6.6,274,100,25,9.1,67,24.5,5,1.8,4003,90,2.2,282,7,63,1.5,1519,37.9,1063,26.6,36,0.9,300,7.5,2484,62.1,5,0.1,1310,32.7,198,4.9,2329,58.2,18,6.6,151,55.1
"061914",8,2.2,10,2.7,0,0,0,0,280,76.7,85,23.3,365,100,69,18.9,126,34.5,1,0.3,6921,159,2.3,1002,14.5,47,0.7,3099,44.8,2824,40.8,22,0.3,1265,18.3,3822,55.2,11,0.2,3308,47.8,229,3.3,2674,38.6,24,6.6,151,41.4
"062901",3,2.5,2,1.7,0,0,0,0,90,75,30,25,120,100,6,5,34,28.3,0,0,2164,8,0.4,279,12.9,46,2,1151,53.2,975,45.1,3,0.1,76,3.5,1013,46.8,1,0,1239,57.3,46,2.1,852,39.4,7,5.8,75,62.5
"062902",0,0,0,0,0,0,0,0,3,37.5,5,62.5,8,100,0,0,5,62.5,0,0,173,0,0,7,4,0,0,97,56.1,71,41,0,0,0,0,76,43.9,0,0,102,59,0,0,95,54.9,1,12.5,3,37.5
"062903",2,1.6,0,0,0,0,0,0,112,90.3,12,9.7,124,100,11,8.9,45,36.3,0,0,1634,7,0.4,131,8,35,2,1138,69.6,1016,62.2,1,0.1,256,15.7,496,30.4,0,0,975,59.7,24,1.5,455,27.8,13,10.5,66,53.2
"062904",0,0,0,0,0,0,8,24.2,20,60.6,5,15.2,33,100,0,0,14,42.4,0,0,513,0,0,20,3.9,9,1.5,267,52,260,50.7,1,0.2,9,1.8,246,48,0,0,267,52,2,0.4,230,44.8,4,12.1,19,57.6
"062905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,0,0,4,6.3,0,0,40,62.5,33,51.6,0,0,4,6.3,24,37.5,0,0,8,12.5,0,0,27,42.2,.,.,.,.
"062906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115,0,0,0,0,0,0,36,31.3,19,16.5,0,0,0,0,79,68.7,0,0,36,31.3,0,0,96,83.5,.,.,.,.
"063903",0,0,0,0,0,0,0,0,14,73.7,5,26.3,19,100,0,0,9,47.4,0,0,280,0,0,8,2.9,0,0,138,49.3,110,39.3,0,0,0,0,142,50.7,0,0,116,41.4,4,1.4,158,56.4,2,10.5,10,52.6
"063906",0,0,0,0,0,0,0,0,1,33.3,2,66.7,3,100,0,0,2,66.7,0,0,99,0,0,0,0,0,0,88,88.9,38,38.4,0,0,1,1,11,11.1,0,0,50,50.5,0,0,61,61.6,0,0,1,33.3
"064903",1,0.8,1,0.8,0,0,0,0,100,77.5,29,22.5,129,100,1,0.8,119,92.2,0,0,2449,16,0.7,12,0.5,97,3.6,1802,73.6,2287,93.4,1,0,181,7.4,647,26.4,0,0,1584,64.7,3,0.1,130,5.3,10,7.8,7,5.4
"065901",2,5.7,0,0,0,0,0,0,28,80,7,20,35,100,4,11.4,6,17.1,0,0,481,4,0.8,44,9.1,7,1.4,233,48.4,59,12.3,0,0,3,0.6,248,51.6,3,0.6,179,37.2,15,3.1,356,74,5,14.3,23,65.7
"065902",0,0,0,0,0,0,0,0,13,100,0,0,13,100,0,0,4,30.8,0,0,112,0,0,2,1.8,0,0,81,72.3,27,24.1,2,1.8,2,1.8,31,27.7,0,0,31,27.7,1,0.9,80,71.4,0,0,9,69.2
"066005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,0,0,0,0,0,0,33,94.3,34,97.1,0,0,18,51.4,2,5.7,0,0,34,97.1,0,0,1,2.9,.,.,.,.
"066901",0,0,0,0,0,0,1,3.7,21,77.8,5,18.5,27,100,0,0,27,100,0,0,371,0,0,0,0,8,2,277,74.7,367,98.9,0,0,25,6.7,94,25.3,0,0,194,52.3,0,0,4,1.1,5,18.5,0,0
"066902",0,0,0,0,0,0,1,1.1,71,81.6,15,17.2,87,100,0,0,86,98.9,0,0,1410,0,0,3,0.2,23,1.5,913,64.8,1389,98.5,0,0,43,3,497,35.2,0,0,948,67.2,0,0,18,1.3,6,6.9,1,1.1
"066903",0,0,0,0,0,0,0,0,49,96.1,2,3.9,51,100,1,2,41,80.4,0,0,776,3,0.4,0,0,14,1.6,444,57.2,712,91.8,1,0.1,36,4.6,332,42.8,0,0,444,57.2,2,0.3,58,7.5,2,3.9,9,17.6
"067902",2,3,0,0,0,0,0,0,58,86.6,9,13.4,67,100,1,1.5,9,13.4,0,0,872,4,0.5,3,0.3,16,1.6,495,56.8,159,18.2,3,0.3,13,1.5,377,43.2,0,0,269,30.8,26,3,677,77.6,7,10.4,55,82.1
"067903",0,0,0,0,0,0,7,9,67,85.9,4,5.1,78,100,0,0,9,11.5,0,0,1087,10,0.9,17,1.6,6,0.5,616,56.7,320,29.4,3,0.3,83,7.6,471,43.3,0,0,493,45.4,8,0.7,729,67.1,6,7.7,69,88.5
"067904",1,6.7,0,0,0,0,0,0,11,73.3,4,26.7,15,100,0,0,6,40,0,0,323,0,0,1,0.3,0,0,224,69.3,125,38.7,0,0,20,6.2,99,30.7,0,0,153,47.4,8,2.5,189,58.5,3,20,8,53.3
"067907",0,0,0,0,0,0,5,17.2,13,44.8,11,37.9,29,100,1,3.4,4,13.8,0,0,459,0,0,13,2.8,6,1.1,331,72.1,97,21.1,4,0.9,9,2,128,27.9,0,0,153,33.3,6,1.3,339,73.9,9,31,24,82.8
"067908",0,0,0,0,0,0,0,0,8,80,2,20,10,100,0,0,3,30,0,0,171,0,0,3,1.8,0,0,111,64.9,27,15.8,0,0,13,7.6,60,35.1,0,0,66,38.6,2,1.2,139,81.3,2,20,7,70
"068802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,575,1,0.2,10,1.7,0,0,143,24.9,181,31.5,0,0,2,0.3,432,75.1,0,0,196,34.1,7,1.2,376,65.4,.,.,.,.
"068803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,301,2,0.7,11,3.7,0,.,29,9.6,94,31.2,2,0.7,0,0,272,90.4,0,0,35,11.6,15,5,177,58.8,.,.,.,.
"068901",17,1.4,19,1.5,1,0.1,103,8.3,991,79.7,150,12.1,1244,100,44,3.5,820,65.9,6,0.5,31900,286,0.9,1221,3.8,470,1.4,15333,48.1,23520,73.7,100,0.3,5144,16.1,16567,51.9,52,0.2,19751,61.9,318,1,6403,20.1,99,8,337,27.1
"069901",0,0,0,0,0,0,0,0,19,90.5,2,9.5,21,100,0,0,18,85.7,0,0,257,1,0.4,0,0,4,1.4,195,75.9,214,83.3,0,0,13,5.1,62,24.1,0,0,124,48.2,0,0,42,16.3,2,9.5,3,14.3
"069902",0,0,0,0,0,0,0,0,20,95.2,1,4.8,21,100,0,0,13,61.9,0,0,294,0,0,1,0.3,3,0.9,184,62.6,123,41.8,1,0.3,2,0.7,110,37.4,0,0,108,36.7,4,1.4,165,56.1,0,0,8,38.1
"070801",0,0,0,0,0,0,0,0,15,88.2,2,11.8,17,100,2,11.8,4,23.5,0,0,509,3,0.6,145,28.5,0,0,432,84.9,174,34.2,0,0,61,12,77,15.1,0,0,324,63.7,8,1.6,179,35.2,1,5.9,11,64.7
"070901",0,0,0,0,0,0,0,0,20,95.2,1,4.8,21,100,2,9.5,8,38.1,0,0,372,0,0,5,1.3,1,0.3,226,60.8,131,35.2,0,0,10,2.7,146,39.2,1,0.3,46,12.4,1,0.3,234,62.9,1,4.8,11,52.4
"070903",2,0.6,1,0.3,1,0.3,1,0.3,257,75.4,83,24.3,341,100,45,13.2,174,51,0,0,5773,22,0.4,679,11.8,132,2.2,3995,69.2,3234,56,11,0.2,770,13.3,1778,30.8,18,0.3,2962,51.3,73,1.3,1736,30.1,30,8.8,118,34.6
"070905",1,0.6,0,0,0,0,0,0,139,88.5,18,11.5,157,100,8,5.1,109,69.4,4,2.5,2453,1,0,168,6.8,48,1.8,1986,81,1690,68.9,9,0.4,595,24.3,467,19,1,0,1317,53.7,24,1,560,22.8,15,9.6,35,22.3
"070907",0,0,0,0,0,0,0,0,31,81.6,7,18.4,38,100,8,21.1,14,36.8,0,0,569,4,0.7,61,10.7,12,2.1,303,53.3,189,33.2,3,0.5,49,8.6,266,46.7,0,0,197,34.6,18,3.2,294,51.7,4,10.5,16,42.1
"070908",8,1.5,8,1.5,0,0,0,0,392,74.4,135,25.6,527,100,39,7.4,81,15.4,3,0.6,7881,109,1.4,385,4.9,76,0.9,1751,22.2,1667,21.2,34,0.4,311,3.9,6130,77.8,9,0.1,2992,38,203,2.6,5474,69.5,26,4.9,388,73.6
"070909",2,13.3,0,0,0,0,0,0,14,93.3,1,6.7,15,100,4,26.7,2,13.3,0,0,244,0,0,58,23.8,4,1.5,194,79.5,75,30.7,1,0.4,18,7.4,50,20.5,0,0,140,57.4,15,6.1,95,38.9,1,6.7,7,46.7
"070910",0,0,0,0,0,0,0,0,55,77.5,16,22.5,71,100,2,2.8,17,23.9,0,0,1140,4,0.4,16,1.4,15,1.2,620,54.4,480,42.1,4,0.4,84,7.4,520,45.6,0,0,470,41.2,17,1.5,619,54.3,13,18.3,52,73.2
"070911",5,1.1,5,1.1,1,0.2,0,0,383,84.9,68,15.1,451,100,97,21.5,132,29.3,2,0.4,5608,48,0.9,1066,19,209,3.5,2487,44.3,1828,32.6,39,0.7,511,9.1,3121,55.7,4,0.1,2247,40.1,132,2.4,2491,44.4,30,6.7,209,46.3
"070912",24,4.3,2,0.4,2,0.4,37,6.6,418,75,102,18.3,557,100,63,11.3,173,31.1,4,0.7,7947,41,0.5,915,11.5,167,2,3850,48.4,2807,35.3,31,0.4,582,7.3,4097,51.6,6,0.1,3870,48.7,216,2.7,3931,49.5,60,10.8,289,51.9
"070915",1,1.3,1,1.3,0,0,0,0,64,85.3,11,14.7,75,100,2,2.7,9,12,0,0,1052,6,0.6,22,2.1,16,1.4,393,37.4,181,17.2,5,0.5,38,3.6,659,62.6,3,0.3,367,34.9,11,1,824,78.3,7,9.3,62,82.7
"071801",0,0,1,5.9,0,0,1,5.9,16,94.1,0,0,17,100,1,5.9,12,70.6,0,0,968,24,2.5,27,2.8,0,0,495,51.1,833,86.1,0,0,222,22.9,473,48.9,1,0.1,406,41.9,6,0.6,77,8,0,0,3,17.6
"071803",0,0,0,0,0,0,0,0,96,91.4,9,8.6,105,100,0,0,100,95.2,0,0,273,0,0,1,0.4,0,0,258,94.5,268,98.2,0,0,0,0,15,5.5,0,0,266,97.4,0,0,4,1.5,2,1.9,5,4.8
"071804",0,0,0,0,2,1.6,0,0,89,69.5,39,30.5,128,100,4,3.1,113,88.3,0,0,456,2,0.4,3,0.7,0,0,243,53.3,425,93.2,0,0,47,10.3,213,46.7,0,0,416,91.2,2,0.4,24,5.3,4,3.1,9,7
"071806",0,0,0,0,0,0,0,0,64,98.5,1,1.5,65,100,2,3.1,54,83.1,0,0,2653,27,1,160,6,0,0,1956,73.7,2118,79.8,5,0.2,432,16.3,697,26.3,4,0.2,1122,42.3,36,1.4,303,11.4,1,1.5,9,13.8
"071807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251,0,0,0,0,0,0,237,94.4,249,99.2,0,0,184,73.3,14,5.6,0,0,197,78.5,0,0,2,0.8,.,.,.,.
"071809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,339,3,0.9,11,3.2,0,0,160,47.2,294,86.7,0,0,86,25.4,179,52.8,0,0,163,48.1,7,2.1,24,7.1,.,.,.,.
"071810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,1,1.3,0,0,0,.,56,72.7,65,84.4,0,0,12,15.6,21,27.3,0,0,20,26,3,3.9,8,10.4,.,.,.,.
"071901",0,0,1,0.2,0,0,0,0,613,94.2,38,5.8,651,100,6,0.9,625,96,1,0.2,11703,14,0.1,78,0.7,130,1,10164,86.8,11085,94.7,28,0.2,3951,33.8,1539,13.2,2,0,7167,61.2,56,0.5,440,3.8,34,5.2,18,2.8
"071902",40,1,51,1.3,8,0.2,22,0.5,3743,92.7,271,6.7,4036,100,151,3.7,3351,83,6,0.1,60556,698,1.2,2281,3.8,1839,2.8,41109,67.9,50336,83.1,129,0.2,15860,26.2,19447,32.1,204,0.3,36908,60.9,828,1.4,6080,10,227,5.6,429,10.6
"071903",0,0,0,0,0,0,0,0,120,86.3,19,13.7,139,100,0,0,136,97.8,0,0,2333,0,0,1,0,15,0.6,2106,90.3,2305,98.8,0,0,978,41.9,227,9.7,0,0,1714,73.5,0,0,27,1.2,16,11.5,3,2.2
"071904",0,0,0,0,0,0,0,0,212,90.6,22,9.4,234,100,0,0,233,99.6,0,0,4038,0,0,6,0.1,77,1.7,3892,96.4,4012,99.4,1,0,2035,50.4,146,3.6,0,0,2905,71.9,1,0,18,0.4,17,7.3,1,0.4
"071905",16,0.6,6,0.2,2,0.1,0,0,2627,90.5,277,9.5,2904,100,45,1.5,2699,92.9,6,0.2,42421,108,0.3,633,1.5,489,1.1,34334,80.9,39647,93.5,69,0.2,10704,25.2,8087,19.1,33,0.1,24557,57.9,201,0.5,1730,4.1,238,8.2,130,4.5
"071906",0,0,0,0,0,0,0,0,37,90.2,4,9.8,41,100,0,0,40,97.6,0,0,872,0,0,8,0.9,15,1.7,869,99.7,832,95.4,0,0,219,25.1,3,0.3,0,0,501,57.5,2,0.2,30,3.4,3,7.3,1,2.4
"071907",0,0,1,0.3,0,0,0,0,369,93.4,26,6.6,395,100,2,0.5,376,95.2,0,0,5859,25,0.4,53,0.9,121,1.9,4325,73.8,5529,94.4,5,0.1,1680,28.7,1534,26.2,1,0,3605,61.5,21,0.4,225,3.8,21,5.3,16,4.1
"071908",0,0,0,0,0,0,0,0,88,89.8,10,10.2,98,100,0,0,98,100,0,0,1264,0,0,0,0,25,1.7,1192,94.3,1251,99,0,0,597,47.2,72,5.7,0,0,953,75.4,2,0.2,11,0.9,3,3.1,0,0
"071909",6,0.2,16,0.5,1,0,0,0,2915,96.1,117,3.9,3032,100,55,1.8,2804,92.5,8,0.3,44380,274,0.6,1018,2.3,472,1,31577,71.2,40615,91.5,129,0.3,9043,20.4,12803,28.8,64,0.1,21623,48.7,230,0.5,2050,4.6,150,4.9,142,4.7
"072801",15,1.7,4,0.4,0,0,0,0,651,73.1,239,26.9,890,100,32,3.6,514,57.8,4,0.4,3591,22,0.6,209,5.8,0,0,2389,66.5,2201,61.3,14,0.4,1022,28.5,1202,33.5,5,0.1,3235,90.1,68,1.9,1072,29.9,66,7.4,321,36.1
"072802",0,0,0,0,0,0,0,0,22,71,9,29,31,100,0,0,7,22.6,0,0,193,1,0.5,5,2.6,1,0.2,146,75.6,94,48.7,3,1.6,8,4.1,47,24.4,0,0,164,85,0,0,90,46.6,0,0,24,77.4
"072901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,0,0,0,0,0,0,75,83.3,49,54.4,0,0,29,32.2,15,16.7,0,0,41,45.6,4,4.4,37,41.1,.,.,.,.
"072902",0,0,0,0,0,0,0,0,63,90,7,10,70,100,1,1.4,36,51.4,0,0,1159,2,0.2,11,0.9,6,0.5,881,76,709,61.2,2,0.2,236,20.4,278,24,0,0,662,57.1,16,1.4,419,36.2,5,7.1,33,47.1
"072903",9,3.7,2,0.8,0,0,0,0,214,87.3,31,12.7,245,100,3,1.2,63,25.7,1,0.4,3607,27,0.7,43,1.2,52,1.3,1669,46.3,979,27.1,53,1.5,349,9.7,1938,53.7,3,0.1,1354,37.5,55,1.5,2447,67.8,20,8.2,167,68.2
"072904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,107,1,0.9,0,0,0,0,24,22.4,8,7.5,1,0.9,0,0,83,77.6,0,0,33,30.8,3,2.8,94,87.9,.,.,.,.
"072908",0,0,0,0,0,0,0,0,8,100,0,0,8,100,0,0,1,12.5,1,12.5,189,1,0.5,0,0,2,1.1,73,38.6,34,18,2,1.1,6,3.2,116,61.4,0,0,65,34.4,2,1.1,150,79.4,0,0,6,75
"072909",1,7.1,0,0,0,0,0,0,13,92.9,1,7.1,14,100,0,0,1,7.1,0,0,225,0,0,0,0,0,0,123,54.7,111,49.3,0,0,48,21.3,102,45.3,0,0,111,49.3,4,1.8,110,48.9,1,7.1,12,85.7
"072910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,119,0,0,0,0,0,0,57,47.9,19,16,0,0,3,2.5,62,52.1,0,0,22,18.5,2,1.7,98,82.4,.,.,.,.
"073901",2,5.3,0,0,0,0,0,0,34,89.5,4,10.5,38,100,10,26.3,16,42.1,0,0,494,0,0,72,14.6,7,1.2,409,82.8,294,59.5,0,0,77,15.6,85,17.2,1,0.2,429,86.8,10,2,117,23.7,7,18.4,10,26.3
"073903",2,3.8,0,0,0,0,0,0,37,69.8,16,30.2,53,100,33,62.3,14,26.4,0,0,943,5,0.5,542,57.5,24,2.3,934,99,301,31.9,2,0.2,130,13.8,9,1,0,0,591,62.7,15,1.6,78,8.3,13,24.5,4,7.5
"073904",0,0,0,0,0,0,0,0,0,0,17,100,17,100,0,0,3,17.6,0,0,160,0,0,1,0.6,0,0,37,23.1,35,21.9,1,0.6,0,0,123,76.9,0,0,53,33.1,2,1.3,121,75.6,2,11.8,14,82.4
"073905",1,2.1,0,0,0,0,0,0,36,76.6,11,23.4,47,100,8,17,18,38.3,2,4.3,632,0,0,79,12.5,4,0.6,429,67.9,245,38.8,1,0.2,22,3.5,203,32.1,0,0,284,44.9,15,2.4,292,46.2,8,17,18,38.3
"074903",4,3.7,1,0.9,0,0,0,0,91,83.5,18,16.5,109,100,6,5.5,15,13.8,4,3.7,1903,6,0.3,139,7.3,42,1.9,1293,67.9,442,23.2,24,1.3,189,9.9,610,32.1,1,0.1,837,44,70,3.7,1221,64.2,14,12.8,79,72.5
"074904",0,0,0,0,0,0,0,0,14,100,0,0,14,100,0,0,0,0,0,0,385,0,0,2,0.5,0,0,169,43.9,28,7.3,1,0.3,6,1.6,216,56.1,0,0,108,28.1,11,2.9,343,89.1,1,7.1,14,100
"074905",1,5.9,0,0,0,0,0,0,15,88.2,2,11.8,17,100,0,0,1,5.9,0,0,270,5,1.9,2,0.7,0,0,134,49.6,36,13.3,1,0.4,4,1.5,136,50.4,0,0,68,25.2,2,0.7,224,83,3,17.6,15,88.2
"074907",2,6.3,0,0,0,0,0,0,26,81.3,6,18.8,32,100,6,18.8,4,12.5,0,0,610,1,0.2,73,12,4,0.6,376,61.6,105,17.2,6,1,41,6.7,234,38.4,0,0,182,29.8,31,5.1,394,64.6,5,15.6,20,62.5
"074909",0,0,0,0,0,0,0,0,57,73.1,21,26.9,78,100,6,7.7,13,16.7,0,0,875,3,0.3,32,3.7,12,1.3,487,55.7,136,15.5,20,2.3,20,2.3,388,44.3,0,0,324,37,26,3,658,75.2,7,9,59,75.6
"074911",1,4.8,0,0,0,0,0,0,19,90.5,2,9.5,21,100,0,0,1,4.8,0,0,288,2,0.7,2,0.7,0,0,156,54.2,18,6.3,4,1.4,1,0.3,132,45.8,0,0,95,33,17,5.9,245,85.1,2,9.5,19,90.5
